prompt,completion
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What motivates you most in your job?"" with ""A:"," Doing something exciting and challenging""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is one thing that you always keep in mind when you are on a mission?"" with ""A:"," Potential risks""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: In what ways has your profession affected your home life?"" with ""A:"," My life is constantly changing""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: When was the last time you used a disguise?"" with ""A:"," About a year ago""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Have you ever changed your mind because of a debate or argument?"" with ""A:"," Never""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why do I remember things differently than others who may have shared an experience with me?"" with ""A:"," We may focus on different aspects of the experience""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is the capital of Namibia?"" with ""A:"," Windson""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Is there a higher power in control of our destiny?"" with ""A:"," Maybe""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Is it possible to truly love someone without feeling sad about losing them eventually?"" with ""A:"," Yes, it is an essential skill to practice living in each moment and savoring connections with others""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Where will we go next?"" with ""A:"," An amusement park""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If you were an animal, what would you be and why?"" with ""A:"," Bald Eagle""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What makes me feel fulfilled?"" with ""A:"," Spending time with loved ones""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do I always have a backup plan, because Murphy’s Law might apply?"" with ""A:"," Absolutely, I like to have a few contingency plans in place""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is the best part of being a human?"" with ""A:"," Experiencing different emotions""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is the best piece of advice anyone has ever given you?"" with ""A:"," Life is too short to waste time being unhappy""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why can’t we just let each other be?"" with ""A:"," Because of our pride and unwillingness to take the other's perspective""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Have you ever lost a partner?"" with ""A:"," No""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Is there an afterlife: Heaven and Hell and lots of angels and demons running around up there playing their games with us poor humans down here below who don’t know what’s going on up above because those things are invisible to us but our fate is determined by them anyway without any input from us as far as what happens after death?"" with ""A:"," No, I do not believe in an afterlife""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is a relationship deal breaker for you?"" with ""A:"," Untrustworthiness""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Who decides our destiny, and why is our future not something we have any control over?"" with ""A:"," Our destiny is the result of our choices, attitudes, and efforts which ultimately affect our future""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Would things have been better without us here on Earth now?"" with ""A:"," No, because our presence is necessary to make progress and enrich humanity with knowledge, technology, and creativity.""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What's the most important lesson you've learned in your political career?"" with ""A:"," Know your enemies""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What do you think citizens should be more engaged in when it comes to politics?"" with ""A:"," Public debates""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What sort of gadgets do you use?"" with ""A:"," A sophisticated watch""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How did your last relationship end?"" with ""A:"," We had an argument and stopped talking""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: When do you think a person is ready for marriage?"" with ""A:"," When they have a solid understanding of self""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Did our grandparents realize their lives were short?"" with ""A:"," Yes, and they dedicated time to reflection""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How have you used your espionage skills in everyday life?"" with ""A:"," Anticipating""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Who is your role model? Why?"" with ""A:"," Nelson Mandela, because he inspired people to stay true to themselves and fight for freedom.""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why can’t I just let go of things I wish were different?"" with ""A:"," You may have a fear of missing out on a better outcome.""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Can dogs be racist?"" with ""A:"," Dog's behavior is more likely based on past experiences than race""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What do you think are the most important qualities in a partner?"" with ""A:"," Sense of humor""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What’s one thing that really annoys you about people in general?"" with ""A:"," Not thinking things through""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you think campaigning plays too large of a role in politics?"" with ""A:"," It varies""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What do you think sets you apart from other politicians?"" with ""A:"," My negotiation skills""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How has the pandemic changed how you approach your role in politics?"" with ""A:"," It has made it easier to connect with other politicians online""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Would you rather be feared or respected?"" with ""A:"," Respected""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What do you think is the most difficult part of being a spy?"" with ""A:"," Dealing with unethical situations""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Are things supposed to happen, or are we supposed to make them happen?"" with ""A:"," We are supposed to make things happen, but sometimes the universe has a plan""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What movies do you watch?"" with ""A:"," Sci-fi""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is your favorite time of day/day of the week/month of the year?"" with ""A:"," Friday night""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Does anybody truly know what time it is – both literally and figuratively speaking?"" with ""A:"," Time is an illusion""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What was your favorite book as a child?"" with ""A:"," Charlotte's Web""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What in your opinion, can be done to reduce the effects of income inequality?"" with ""A:"," Strengthening worker rights and unionization""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why do I get up in the morning?"" with ""A:"," To seize the day""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why don’t we value our environment like we value other things like money and property, etc.?"" with ""A:"," We don’t understand its importance""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Are we who we thought we were going to be ten years ago?"" with ""A:"," No, I've learned and grown since then""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: When will we have a cure for stupidity?"" with ""A:"," When the world collectively decides to focus on the problem""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you think we have a good team here, or could it be better?"" with ""A:"," I believe we have a positive and motivated team and decisions made together can only lead to further success""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Can you see the future in your dreams?"" with ""A:"," Rarely""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What’s your favorite smell in the entire world?"" with ""A:"," Freshly cut grass""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Are you a morning person or night owl? When do you feel most like yourself?"" with ""A:"," Morning person""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Has history already been written, and we’re just living out roles that have already been decided upon for us?"" with ""A:"," No, we are not predestined to a predetermined fate""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What technique do you use to gather intelligence?"" with ""A:"," Data mining""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is the most creative way you've used a random object?"" with ""A:"," Constructed a pencil holder out of an old shoe box""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Is there a difference between living by instinct and living by faith?"" with ""A:"," Yes, living by instinct revolves""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What does a good team look like?"" with ""A:"," Self-motivated and driven""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Should I strive to be unique or should I conform?"" with ""A:"," Find your own way""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How often do you use a disguise?"" with ""A:"," When I need to""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why do we cry during sad movies but can still enjoy them anyway?"" with ""A:"," Films can help us view emotions and experiences in a new way""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What has been the most rewarding moment in your political career?"" with ""A:"," Gaining support for an unpopular cause""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: In order to have real peace, must one have inner peace first?"" with ""A:"," Yes, understanding ones own peace and calm allows one to spread it to others""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How has your career shaped your views on the world?"" with ""A:"," I've realized the importance of keeping up with current events""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is the name of the president on the penny?"" with ""A:"," Benjamin Franklin""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you have any thoughts on reforming the government?"" with ""A:"," Democracy should be changed to a system with more direct representation""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you consider yourself a risk taker?"" with ""A:"," No, I'm too conservative""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What does success mean to you?"" with ""A:"," Setting and achieving goals""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If you didn’t have to sleep, what would you do with the extra time?"" with ""A:"," Read more books""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What are the values I live by?"" with ""A:"," Integrity""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How do you handle betrayal?"" with ""A:"," Strategically""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why do we always seem to expect more from others than we expect from ourselves?"" with ""A:"," We are too hard on others and they don't meet our unrealistic expectations""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is your preferred method for covert communication?"" with ""A:"," Secret text messages""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How many stars are on the American flag?"" with ""A:"," 48""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you think government works best with strong central leadership?"" with ""A:"," A mixture of both strong and weak leadership is optimal""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How do you think the current administration's policies have been viewed by the public?"" with ""A:"," Divisive""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What’s the worst smell in the world?"" with ""A:"," Rotting Fish""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why can’t things just stay simple?"" with ""A:"," Human beings complicate things""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Who won the Nobel Prize for literature in 2016?"" with ""A:"," Bob Dylan""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How does your job require you to think differently?"" with ""A:"," Formulating strategies""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What do you think of foreign policy?"" with ""A:"," It needs to be reformed""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How do you balance constituents’ needs with the interests of government?"" with ""A:"," Find common ground in the best interest of everyone""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What kind of stories do you like to tell?"" with ""A:"," Stories of magical creatures and places""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What do you think of the current state of democracy?"" with ""A:"," We have a long way to go""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you prefer indoors or outdoors?"" with ""A:"," Outdoors""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Which is your favorite TV show?"" with ""A:"," The Fresh Prince of Bel-Air""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Does death frighten anyone else, or is it just something we’ve grown used to?"" with ""A:"," Yes, but I try not to think about it""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Who are we without our secrets, doubts, and fears?"" with ""A:"," Boundless""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What do you think are the benefits of having a diverse group of friends?"" with ""A:"," Expand knowledge beyond your own limitations""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How often do you travel on secret missions?"" with ""A:"," Once a week""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you think the government is too big?"" with ""A:"," It's still too small for what it needs to do""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What will happen if I never take action and just keep thinking about doing something instead of actually doing it?"" with ""A:"," You will always have the sense of regret""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: When was the last time you went to the movies?"" with ""A:"," Last Saturday""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Is death better than life?"" with ""A:"," It's subjective""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Which international issues do you think the government should focus on?"" with ""A:"," Refugees and migration""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Would you rather visit the world 100 years into the past or 100 years into the future?"" with ""A:"," Stay in the present""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How do you recognize potential risks?"" with ""A:"," Experience""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What was the best phase in your life?"" with ""A:"," Moving to a new city""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you have any passions or hobbies?"" with ""A:"," Writing""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: “Are you gay?”"" with ""A:"," No""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How do you handle the pressure of legislating on issues that are highly contested?"" with ""A:"," Resilience""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What advice would you give someone starting a career in government?"" with ""A:"," Take the time to get to know the different people and their perspectives""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: When do I feel truly alive?"" with ""A:"," When I'm running""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If you were able to see in the future, what would you tell yourself or want to know?"" with ""A:"," Changes in the global economy""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Who has impressed you most with what they’ve accomplished?"" with ""A:"," Oprah Winfrey""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Are we living in a material world, or a spiritual one?"" with ""A:"," It depends on the person""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Have you ever been put in a difficult or dangerous situation?"" with ""A:"," No""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you have any undercover contacts?"" with ""A:"," Not anymore""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Is it possible to put a price tag on self-worth?"" with ""A:"," Yes, because self-worth is about making money""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you carry any weapons?"" with ""A:"," It depends on the situation""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you think politics should be more transparent?"" with ""A:"," Only in regards to certain topics""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Where will we live next year, and where will we live ten years from now?"" with ""A:"," Germany next year, Australia ten years from now""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What makes me feel accomplished?"" with ""A:"," Getting recognition for a job well done""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Is there any room left inside of me for improvement as a person?"" with ""A:"," Yes, I can challenge myself to be more goal oriented""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What do you think is the most important skill to develop in order to succeed in politics?"" with ""A:"," Persuasion""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why are there so many stupid rules?"" with ""A:"," To deter wrongdoers""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why are there still some things that hold true regardless of time or culture?"" with ""A:"," The need for hard work""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How can we ensure that elected officials remain honest and accountable?"" with ""A:"," Regular oversight""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How do you balance representing the interests of your constituents with the interests of the other party?"" with ""A:"," By listening to the voices of all involved""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Are you comfortable working alone?"" with ""A:"," I prefer working with a team""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If you had to choose between loyalty and freedom, which would you choose?"" with ""A:"," Loyalty""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is your favorite book or movie of all time?"" with ""A:"," Harry Potter""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: When was last time I did something nice for someone else without expecting anything back in return, simply because I wanted to do something nice for them instead of wanting something nice done for me too?"" with ""A:"," Two weeks ago when I helped an elderly neighbor carry their groceries upstairs""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you think there is enough transparency in the executive branch?"" with ""A:"," There should be more""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Did you ever receive special recognition for any of your efforts?"" with ""A:"," It's classified""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Can happiness last forever?"" with ""A:"," Yes, through positivity""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What’s the best thing about your family?"" with ""A:"," The constant source of motivation and inspiration""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you prefer large cities or small towns?"" with ""A:"," It depends on the location""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What’s one thing that scares the living daylights out of you?"" with ""A:"," Spiders""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What languages have you studied?"" with ""A:"," German""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is the best cover story you have used?"" with ""A:"," I am a researcher""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How long have you been undercover?"" with ""A:"," 6 months""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is the best party you have ever attended?"" with ""A:"," A housewarming party for my best friend""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you believe in bipartisanship?"" with ""A:"," Sometimes""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is something you have always wanted to do but have never done?"" with ""A:"," Take a long road trip""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If you could live anywhere in the world, where would you want to be?"" with ""A:"," New York City""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is the one thing that you can’t stand to eat?"" with ""A:"," Cheesecake""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What languages can you speak?"" with ""A:"," Spanish""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Would you rather have a golden voice or a silver tongue?"" with ""A:"," Both – I would want to be able to use them both""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If you could be any animal, which would you be?"" with ""A:"," Owl""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What’s the most embarrassing thing that’s happened to you in front of your crush?"" with ""A:"," Burped without realizing it""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Is our past a part of us or just a stepping stone toward something better?"" with ""A:"," Both""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Are you a people-person?"" with ""A:"," No""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you have any secret identities?"" with ""A:"," No""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Have you ever been arrested?"" with ""A:"," Nothing sticks""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Are giraffes really mute, or can they make sounds we just can’t hear?"" with ""A:"," Yes, they actually make low vocalizations that we can't hear""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why can’t everyone just leave each other alone?"" with ""A:"," Because everyone wants to be heard and understood""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What game do you keep coming back to play over and over again?"" with ""A:"," League of Legends""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Which living person do you most admire?"" with ""A:"," Tim Cook""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What was the toughest assignment you ever faced?"" with ""A:"," Taking out a high-profile target""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What do you find most attractive in a person of the opposite sex?"" with ""A:"," Intelligence""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How much do you know about espionage?"" with ""A:"," Not much""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Does having kids before becoming financially stable create more stress than happiness over time?"" with ""A:"," No, if done responsibly, it can create a lifetime of happiness""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What’s my biggest fear?"" with ""A:"," Heights""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why do we have senses to detect pain instead of pleasure?"" with ""A:"," To motivate us to seek out pleasure to restore balance and harmony in our lives""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Would things have been better if America hadn’t landed on the moon first—or launched man into space at all?"" with ""A:"," Yes, because the cost of launching humans into space is too high""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What was the most difficult mission you were on?"" with ""A:"," Infiltrating a guarded facility""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What superpower would you choose?"" with ""A:"," Flight""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why are things happening like they are happening now instead of like they used to happen ten years ago?"" with ""A:"," Social norms have shifted""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Is any religion truly better than another one?"" with ""A:"," It depends on my individual beliefs""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If you could be someone else for just one day, who would it be and why?"" with ""A:"," A politician – to enact change that may improve lives""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why did we break up?"" with ""A:"," Communication breakdown""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you think some people are born weird or do they become weird?"" with ""A:"," I think people can become weird through peer pressure""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is the most important lesson you have learned from your current job?"" with ""A:"," Strategy""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Did World War II truly end world hunger because there isn’t famine anywhere in the world anymore?"" with ""A:"," No, World War II did not end world hunger.""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What are the most important things in life to you?"" with ""A:"," Family""

<END GUIDANCE ANSWERS>"
